RRT,DPS21003,DPS21004,DPS21005,DPS21006,DPS21007,DPS21008,DPS21009,DPS21010,DPS21011,DPS21012,DPS21013,DPS21014,DPS21015,DPS21016,DPS21017,DPS21018,DPS21019,DPS21020,DPS21021,DPS21022,DPS22001,DPS22002,DPS22003,DPS22004,DPS22005,DPS22006,DPS22007,DPS22008,DPS22009,DPS22010,DPS22011,DPS22012,DPS22013,DPS22014,DPS22015,DPS22016,DPS22017,DPS22018,DPS22019,DPS22413
1.20,0.04,0.05,0.03,0.04,,0.04,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.04,,,0.05,0.05,,,0.03,0.03,,0.02,,,,,,,,,,,,,,,,
1.21,,0.05,0.03,0.04,0.05,0.03,,,,,,,,0.04,0.04,0.05,,,0.05,0.05,,,0.03,,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.02,,,,,,0.06,0.02
1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.02,,,0.02,0.02,,
1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,
1.27,0.01,,,,,,,,,0.02,0.02,,,,0.02,0.02,,,0.01,0.01,,,,,,,,,0.03,,,,0.01,,0.02,0.02,,,,
1.28,,,,,,,0.02,0.03,0.02,,,0.02,0.02,0.02,,,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.03,,,0.03,,0.03,0.02,,,,,,,,,0.01
1.29,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.03,0.02,0.02,,,,,,,,,,,,,0.01
1.32,,,,,,,,,,0.51,0.43,,0.54,,0.48,0.49,,,,,,,0.52,0.52,,,0.42,,0.44,,0.46,,0.41,,,,,,,0.51
1.33,0.42,0.40,0.36,0.42,0.52,0.43,0.46,0.40,0.49,,,0.44,,0.48,,,0.49,0.45,0.51,0.46,0.50,0.47,,0.52,0.50,0.46,0.40,0.42,,0.56,0.46,0.47,,0.41,,,0.51,0.47,,0.51
1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.49,,,,
1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,
1.38,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1.46,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,
1.69,,,,,,,,,,0.00,0.00,,0.00,,0.00,0.00,,,,,,,0.00,0.01,,,,,0.00,0.00,0.00,,0.00,0.00,,,,,,0.00
1.70,,,,0.00,,,0.02,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.01,,,0.00,0.01,,0.01,0.00,0.00,0.00,0.00,,,,0.00,,0.00,,,,0.00,,
1.71,0.00,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,
1.72,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,
1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,
1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
1.84,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
1.85,0.01,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,
1.86,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,
1.89,,,0.00,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,
1.90,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,
2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.00
2.11,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
2.14,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
2.15,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
2.16,,,,,,,,,,,,,,,0.02,0.02,,,,0.00,,,,,,,,,,,,,,,,,0.01,0.02,,
2.17,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.02,0.02,0.02,,0.02,,,,0.01,,,
2.18,,,,,,,,,,,,,,0.00,,,,,,0.00,,,,,,,,,,,,,0.02,0.02,,,,,,
2.19,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.04,,,,,,,0.01
2.20,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,
2.21,,,0.03,0.02,,,0.03,0.01,0.02,0.02,0.02,0.02,0.01,,,,0.02,0.02,,,,,,,0.02,,,,,,,,,,,,,,,
2.22,,0.02,0.01,,0.02,0.02,,,,,,,,,0.01,0.00,,,0.00,,,,,0.02,,0.02,0.02,0.02,0.01,,,,,,,,,,,
2.23,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,0.01,0.01,0.01,,0.01,,,,0.00,0.01,,
