Sample Base Name,RRT,% Area
DPS21005,0.7740631416837783,0.0021
DPS21005,0.8228311088295688,0.03
DPS21005,0.823076429442341,0.0299
DPS21005,0.8237447027096443,0.0304
DPS21005,0.8660805954825462,0.0034
DPS21005,0.8669062439838285,0.0038
DPS21005,0.8672145884165918,0.0034
DPS21005,0.9130602285861051,0.0012
DPS21005,0.9135010266940452,0.0014
DPS21005,0.914329718282744,0.0014
DPS21005,1.0,99.34196666666666
DPS21005,1.196367836745171,0.0309
DPS21005,1.1965455245922694,0.031
DPS21005,1.2084188911704312,0.0321
DPS21005,1.3270020533880904,0.3547
DPS21005,1.3270872104216134,0.3559
DPS21005,1.328175163734429,0.356
DPS21005,1.3771817248459959,0.029
DPS21005,1.3772059295385997,0.0296
DPS21005,1.3782586361885194,0.0294
DPS21005,1.8876411704312117,0.0023
DPS21005,1.8923847438037755,0.0022
DPS21005,1.89379451966887,0.0023
DPS21005,2.205274640657084,0.0253
DPS21005,2.2065712635564396,0.0261
DPS21005,2.2079748298446127,0.0263
DPS21005,2.221316735112936,0.0071
DPS21005,2.222614387473529,0.0095
DPS21005,2.22396301528188,0.0095
DPS21005,2.2460857289527723,0.0032
DPS21005,2.2477058332798565,0.0047
DPS21005,2.2490047515089255,0.0045
DPS21005,2.268993839835729,0.02
DPS21005,2.270102034268113,0.019
DPS21005,2.271542314113266,0.019
DPS21005,2.333996406570842,0.013
DPS21005,2.3447346467304113,0.0576
DPS21005,2.3460254269937075,0.0597
DPS21005,2.3995764887063658,0.0252
DPS21005,2.4008214079445547,0.0284
DPS21005,2.4023372287145244,0.0288
DPS21005,2.4294789527720737,0.0405
DPS21005,2.4305974459346724,0.0412
DPS21005,2.432130473866701,0.0406
DPS21006,0.21897060711076882,0.0077
DPS21006,0.21907877854760074,0.0142
DPS21006,0.21915698979919163,0.0126
DPS21006,0.33827303053630997,0.002
DPS21006,0.3383588888176044,0.0023
DPS21006,0.3384032858426389,0.0024
DPS21006,0.3505485340347726,0.0016
