Sample Name,Peak Number,RT,Area,Height,% Area,Total Area,Int Type
DPS22011-2,7,12.243,469,28,0.0044,10575636,BV
DPS22011-2,3,13.079,1039,39,0.0098,10575636,VV
DPS22011-2,9,13.654,756,35,0.0071,10575636,VV
DPS22011-2,2,14.333,211,9,0.0020,10575636,VB
DPS22011-2,72,15.869,10497140,264273,99.2578,10575636,BV
DPS22011-2,12,19.226,2329,63,0.0220,10575636,VV
DPS22011-2,13,20.290,2107,80,0.0199,10575636,VV
DPS22011-2,1,21.037,48887,1887,0.4623,10575636,VB
DPS22011-2,15,26.851,336,11,0.0032,10575636,BB
DPS22011-2,16,34.421,2255,172,0.0213,10575636,BB
DPS22011-2,17,35.356,717,58,0.0068,10575636,BB
DPS22011-2,18,36.126,3825,161,0.0362,10575636,BB
DPS22011-2,19,36.867,472,53,0.0045,10575636,BB
DPS22011-2,20,37.375,5472,555,0.0517,10575636,BB
DPS22011-3,1,5.316,380,24,0.0036,10574883,BB
DPS22011-3,21,37.845,2898,304,0.0274,10574883,BB
DPS22011-3,2,7.540,1822,178,0.0172,10574883,BV
DPS22011-3,3,7.742,1734,159,0.0164,10574883,VV
DPS22011-3,4,7.978,1276,118,0.0121,10574883,VB
DPS22011-3,5,10.192,845,60,0.0080,10574883,BB
DPS22011-3,6,11.105,550,21,0.0052,10574883,BB
DPS22011-3,7,12.243,436,26,0.0041,10574883,BV
DPS22011-3,3,13.057,1042,40,0.0099,10574883,VV
DPS22011-3,9,13.663,764,38,0.0072,10574883,VV
DPS22011-3,2,14.350,280,11,0.0026,10574883,VV
DPS22011-3,72,15.883,10496382,261577,99.2577,10574883,VV
DPS22011-3,12,19.268,2236,62,0.0211,10574883,VV
DPS22011-3,13,20.296,2077,80,0.0196,10574883,VV
DPS22011-3,1,21.043,49139,1897,0.4647,10574883,VB
DPS22011-3,15,26.781,307,11,0.0029,10574883,BB
DPS22011-3,16,34.417,2243,171,0.0212,10574883,BB
DPS22011-3,17,35.348,685,57,0.0065,10574883,BB
DPS22011-3,18,36.122,3890,164,0.0368,10574883,BB
DPS22011-3,19,36.858,464,52,0.0044,10574883,BB
DPS22011-3,20,37.369,5431,552,0.0514,10574883,BB
DPS22012-1,1,5.280,379,25,0.0036,10528449,BB
DPS22012-1,2,7.494,3391,181,0.0322,10528449,BV
DPS22012-1,3,7.914,1365,125,0.0130,10528449,VB
DPS22012-1,4,10.082,824,58,0.0078,10528449,BB
DPS22012-1,5,10.950,660,24,0.0063,10528449,BB
DPS22012-1,6,12.109,613,39,0.0058,10528449,BV
DPS22012-1,3,12.913,1061,42,0.0101,10528449,VV
DPS22012-1,8,13.493,829,40,0.0079,10528449,VV
DPS22012-1,2,14.240,482,23,0.0046,10528449,VB
DPS22012-1,72,15.637,10449042,264603,99.2458,10528449,BS
DPS22012-1,11,17.894,2154,59,0.0205,10528449,SV
DPS22012-1,12,18.945,1204,36,0.0114,10528449,VB
DPS22012-1,1,20.768,49658,1925,0.4717,10528449,BB
DPS22012-1,14,26.544,612,15,0.0058,10528449,BB
DPS22012-1,15,34.411,2198,166,0.0209,10528449,BB
DPS22012-1,16,35.365,723,61,0.0069,10528449,BB
DPS22012-1,17,36.786,4987,219,0.0474,10528449,BB
DPS22012-1,18,37.439,5078,510,0.0482,10528449,BB
DPS22012-1,19,37.924,3189,328,0.0303,10528449,BB
DPS22012-2,1,5.283,358,24,0.0034,10612557,BB
DPS22012-2,2,7.495,3532,186,0.0333,10612557,BV
DPS22012-2,3,7.915,1412,127,0.0133,10612557,VB
DPS22012-2,4,10.083,888,61,0.0084,10612557,BB
DPS22012-2,5,10.959,703,27,0.0066,10612557,BB
DPS22012-2,6,12.114,472,34,0.0044,10612557,BB
DPS22012-2,3,12.914,1060,42,0.0100,10612557,BV
DPS22012-2,8,13.486,847,40,0.0080,10612557,VB
