Sample Name,Peak Number,Name,RT,Area,Height,% Area,Total Area,Int Type
DPS22011-2,14,DP-IMP-1,21.037,48887,1887,0.4623,10575636,VB
DPS22011-3,8,DP-IMP-3,13.057,1042,40,0.0099,10574883,VV
DPS22011-3,10,DP-IMP-2,14.350,280,11,0.0026,10574883,VV
DPS22011-3,11,DP72,15.883,10496382,261577,99.2577,10574883,VV
DPS22011-3,14,DP-IMP-1,21.043,49139,1897,0.4647,10574883,VB
DPS22012-1,7,DP-IMP-3,12.913,1061,42,0.0101,10528449,VV
DPS22012-1,9,DP-IMP-2,14.240,482,23,0.0046,10528449,VB
DPS22012-1,10,DP72,15.637,10449042,264603,99.2458,10528449,BS
DPS22012-1,13,DP-IMP-1,20.768,49658,1925,0.4717,10528449,BB
DPS22012-2,7,DP-IMP-3,12.914,1060,42,0.0100,10612557,BV
DPS22012-2,9,DP-IMP-2,14.259,351,20,0.0033,10612557,BB
DPS22012-2,10,DP72,15.636,10533633,265682,99.2563,10612557,BS
DPS22012-2,13,DP-IMP-1,20.771,49884,1938,0.4700,10612557,BB
DPS22012-3,7,DP-IMP-3,12.911,1059,42,0.0100,10533320,VV
DPS22012-3,9,DP-IMP-2,14.263,370,20,0.0035,10533320,VB
DPS22012-3,10,DP72,15.643,10454984,265005,99.2563,10533320,BS
DPS22012-3,13,DP-IMP-1,20.776,49552,1926,0.4704,10533320,BB
DPS22013-1,8,DP-IMP-3,13.014,1489,58,0.0153,9708576,VV
DPS22013-1,10,DP-IMP-2,14.263,338,18,0.0035,9708576,VB
DPS22013-1,11,DP72,15.845,9643955,254186,99.3344,9708576,BV
DPS22013-1,14,DP-IMP-1,20.931,39629,1571,0.4082,9708576,VV
DPS22013-2,8,DP-IMP-3,13.008,1552,62,0.0148,10509288,BV
DPS22013-2,10,DP-IMP-2,14.264,468,20,0.0045,10509288,VB
DPS22013-2,11,DP72,15.808,10434633,267688,99.2896,10509288,BV
DPS22013-2,14,DP-IMP-1,20.931,42960,1691,0.4088,10509288,VB
DPS22013-3,8,DP-IMP-3,13.031,1530,63,0.0146,10480072,VV
DPS22013-3,10,DP-IMP-2,14.263,310,17,0.0030,10480072,VB
DPS22013-3,11,DP72,15.827,10408415,267225,99.3163,10480072,BV
DPS22013-3,14,DP-IMP-1,20.954,42909,1688,0.4094,10480072,VB
DPS22014-1,8,DP-IMP-3,13.007,1345,54,0.0127,10549452,VV
DPS22014-1,10,DP-IMP-2,14.296,322,16,0.0031,10549452,VB
DPS22014-1,11,DP72,15.785,10481569,262575,99.3565,10549452,BV
DPS22014-1,14,DP-IMP-1,20.937,43604,1642,0.4133,10549452,VB
DPS22014-2,8,DP-IMP-3,13.006,1268,52,0.0120,10535461,VV
DPS22014-2,10,DP-IMP-2,14.318,266,17,0.0025,10535461,VB
DPS22014-2,11,DP72,15.788,10468529,262733,99.3647,10535461,BV
DPS22014-2,14,DP-IMP-1,20.941,43045,1635,0.4086,10535461,VB
DPS22014-3,8,DP-IMP-3,13.003,1343,53,0.0128,10507543,VV
DPS22014-3,10,DP-IMP-2,14.308,435,20,0.0041,10507543,VB
DPS22014-3,11,DP72,15.789,10439760,262373,99.3549,10507543,BV
DPS22014-3,14,DP-IMP-1,20.940,43308,1638,0.4122,10507543,VB
DPS22015-1,9,DP-IMP-3,12.577,1911,80,0.0181,10549846,VV
DPS22015-1,11,DP-IMP-2,14.277,460,26,0.0044,10549846,BV
DPS22015-1,12,DP72,15.088,10474001,240609,99.2811,10549846,VV
DPS22015-1,14,DP-IMP-1,20.327,54019,2106,0.5120,10549846,VV
DPS22015-2,9,DP-IMP-3,12.576,1884,79,0.0179,10540130,VV
DPS22015-2,11,DP-IMP-2,14.280,572,28,0.0054,10540130,VV
DPS22015-2,12,DP72,15.090,10465089,240576,99.2880,10540130,VV
DPS22015-2,14,DP-IMP-1,20.327,54008,2107,0.5124,10540130,VV
DPS22015-3,9,DP-IMP-3,12.578,1842,79,0.0175,10516157,VV
DPS22015-3,11,DP-IMP-2,14.282,464,26,0.0044,10516157,BV
DPS22015-3,12,DP72,15.092,10441238,239894,99.2876,10516157,VV
DPS22015-3,14,DP-IMP-1,20.329,53996,2106,0.5135,10516157,VV
DPS22016-1,9,DP-IMP-3,12.582,1707,72,0.0161,10578115,BV
DPS22016-1,11,DP-IMP-2,14.275,392,18,0.0037,10578115,VB
DPS22016-1,12,DP72,15.092,10506137,240950,99.3196,10578115,BV
DPS22016-1,14,DP-IMP-1,20.331,51736,2014,0.4891,10578115,VV
DPS22016-2,9,DP-IMP-3,12.589,1750,74,0.0166,10547746,VV
DPS22016-2,11,DP-IMP-2,14.293,359,18,0.0034,10547746,VV
DPS22016-2,12,DP72,15.093,10475572,240360,99.3157,10547746,VV
DPS22016-2,14,DP-IMP-1,20.334,51673,2011,0.4899,10547746,VV
DPS22016-3,9,DP-IMP-3,12.591,1743,73,0.0165,10550482,VV
DPS22016-3,11,DP-IMP-2,14.286,366,18,0.0035,10550482,VB
DPS22016-3,12,DP72,15.102,10480348,240163,99.3353,10550482,BB
DPS22016-3,14,DP-IMP-1,20.341,51116,2004,0.4845,10550482,VB
DPS22017-1,8,DP-IMP-3,13.061,1250,46,0.0119,10532733,VV
DPS22017-1,10,DP-IMP-2,14.387,261,12,0.0025,10532733,VB
DPS22017-1,11,DP72,15.857,10458193,259935,99.2923,10532733,BV
DPS22017-1,13,DP-IMP-1,21.054,53689,2033,0.5097,10532733,VV
DPS22017-2,8,DP-IMP-3,13.073,1189,46,0.0113,10565840,VV
DPS22017-2,10,DP-IMP-2,14.404,214,11,0.0020,10565840,BB
DPS22017-2,11,DP72,15.858,10491412,260248,99.2956,10565840,BV
DPS22017-2,13,DP-IMP-1,21.056,54089,2045,0.5119,10565840,VB
DPS22017-3,8,DP-IMP-3,13.074,1241,47,0.0118,10544502,VV
DPS22017-3,10,DP-IMP-2,14.425,307,12,0.0029,10544502,VB
DPS22017-3,11,DP72,15.860,10470532,260186,99.2985,10544502,BV
DPS22017-3,13,DP-IMP-1,21.060,53874,2038,0.5109,10544502,VB
DPS22018-1,8,DP-IMP-3,13.077,1040,40,0.0099,10501466,VV
DPS22018-1,10,DP-IMP-2,14.414,188,11,0.0018,10501466,VB
DPS22018-1,11,DP72,15.866,10427357,258662,99.2943,10501466,BV
DPS22018-1,13,DP-IMP-1,21.063,49873,1872,0.4749,10501466,VV
DPS22018-2,8,DP-IMP-3,13.077,1102,42,0.0105,10506760,VV
DPS22018-2,10,DP-IMP-2,14.419,191,9,0.0018,10506760,VB
DPS22018-2,11,DP72,15.871,10433181,258993,99.2997,10506760,BV
DPS22018-2,13,DP-IMP-1,21.069,49289,1870,0.4691,10506760,BB
DPS22018-3,8,DP-IMP-3,13.080,1108,42,0.0105,10504205,VV
DPS22018-3,10,DP-IMP-2,14.409,153,8,0.0015,10504205,BB
DPS22018-3,11,DP72,15.876,10429191,259350,99.2859,10504205,BV
DPS22018-3,13,DP-IMP-1,21.075,49880,1879,0.4749,10504205,VB
DPS22019-1,10,DP-IMP-3,12.076,1136,49,0.0108,10557287,VV
DPS22019-1,13,DP72,14.404,10471469,215653,99.1871,10557287,BS
DPS22019-1,15,DP-IMP-1,19.543,56751,2135,0.5376,10557287,VB
DPS22019-2,10,DP-IMP-3,12.082,1166,49,0.0111,10534106,VV
DPS22019-2,12,DP-IMP-2,13.488,90,4,0.0009,10534106,VB
DPS22019-2,13,DP72,14.405,10448294,214499,99.1854,10534106,BS
DPS22019-2,15,DP-IMP-1,19.539,56289,2124,0.5343,10534106,VB
DPS22019-3,10,DP-IMP-3,12.092,1198,50,0.0115,10441915,VV
DPS22019-3,12,DP-IMP-2,13.432,85,4,0.0008,10441915,VB
DPS22019-3,13,DP72,14.415,10358362,213325,99.1998,10441915,BS
DPS22019-3,15,DP-IMP-1,19.544,54537,2057,0.5223,10441915,VB
DPS22413-1,8,DP-IMP-3,12.932,1842,72,0.0175,10517247,VV
DPS22413-1,10,DP-IMP-2,14.243,710,36,0.0068,10517247,VB
DPS22413-1,11,DP72,15.701,10437087,263422,99.2378,10517247,BV
DPS22413-1,14,DP-IMP-1,20.804,53901,2102,0.5125,10517247,VB
DPS22413-2,8,DP-IMP-3,12.933,1753,70,0.0166,10533696,VV
DPS22413-2,10,DP-IMP-2,14.236,603,35,0.0057,10533696,VB
DPS22413-2,11,DP72,15.703,10453904,263397,99.2425,10533696,BV
DPS22413-2,14,DP-IMP-1,20.806,53578,2089,0.5086,10533696,VB
DPS22413-3,8,DP-IMP-3,12.932,1727,70,0.0164,10549098,VV
DPS22413-3,10,DP-IMP-2,14.239,574,32,0.0054,10549098,VB
DPS22413-3,11,DP72,15.703,10468808,263734,99.2389,10549098,BV
DPS22413-3,14,DP-IMP-1,20.808,53729,2083,0.5093,10549098,VB
